epoch,train_loss,learning_rate,epoch_seconds,is_best,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_punctuation_macro_f1,val_punctuation_micro_f1,val_punctuation_micro_precision,val_punctuation_micro_recall,val_f1_O,val_precision_O,val_recall_O,val_f1_COMMA,val_precision_COMMA,val_recall_COMMA,val_f1_PERIOD,val_precision_PERIOD,val_recall_PERIOD,val_f1_QUESTION,val_precision_QUESTION,val_recall_QUESTION,val_num_evaluated_tokens
1,0.326057,0.001,16.17,1,0.216311,0.927656,0.545711,0.91101,0.406268,0.382772,0.669758,0.267955,0.96404,0.937224,0.992436,0.246333,0.571027,0.157039,0.512379,0.748378,0.389539,0.46009,0.59288,0.375899,1977406
2,0.20417,0.001,19.52,1,0.193593,0.93401,0.626279,0.925052,0.512276,0.49851,0.643641,0.406786,0.968286,0.951402,0.985781,0.370196,0.592709,0.269152,0.617341,0.676886,0.567425,0.549292,0.651273,0.474925,1977406
3,0.186943,0.001,19.12,1,0.183366,0.936508,0.655069,0.928543,0.55029,0.518037,0.669954,0.422282,0.969407,0.952428,0.987003,0.413733,0.587166,0.319393,0.619133,0.754766,0.524822,0.618004,0.647082,0.591426,1977406
4,0.176579,0.001,21.59,1,0.177209,0.938313,0.676441,0.93207,0.578342,0.549825,0.65518,0.473659,0.970735,0.95788,0.98394,0.434086,0.614024,0.335708,0.651064,0.68958,0.616623,0.649877,0.636792,0.663511,1977406
5,0.167994,0.001,17.38,1,0.171504,0.940004,0.680604,0.93325,0.583689,0.553188,0.68544,0.463716,0.971347,0.956395,0.986774,0.444999,0.623958,0.345815,0.653838,0.736803,0.587666,0.652231,0.695424,0.614089,1977406
6,0.161226,0.001,15.49,1,0.167571,0.941419,0.685243,0.934077,0.589647,0.560055,0.703027,0.465407,0.972031,0.956418,0.988162,0.437582,0.667747,0.325415,0.666637,0.728745,0.614285,0.664722,0.700433,0.632475,1977406
7,0.154899,0.001,15.62,1,0.164376,0.942404,0.694466,0.936077,0.60173,0.572652,0.699766,0.484619,0.972674,0.958421,0.987357,0.462871,0.653614,0.358307,0.672268,0.733404,0.620541,0.670051,0.722573,0.624647,1977406
8,0.1497,0.001,15.54,1,0.162174,0.943134,0.703283,0.937234,0.61333,0.581422,0.698203,0.498108,0.973141,0.959823,0.986834,0.471572,0.658262,0.367379,0.677991,0.732218,0.631243,0.690427,0.687066,0.69382,1977406
9,0.145046,0.001,15.54,1,0.160447,0.943707,0.708151,0.938151,0.619729,0.584444,0.704604,0.499296,0.97342,0.959881,0.987346,0.488106,0.639584,0.394639,0.67424,0.773637,0.597476,0.69684,0.68179,0.712569,1977406
10,0.140559,0.001,15.55,1,0.159202,0.944162,0.71459,0.939453,0.628161,0.596439,0.690147,0.525137,0.973876,0.962706,0.985309,0.498316,0.646684,0.405324,0.684555,0.728885,0.645309,0.701612,0.686928,0.716938,1977406
11,0.136839,0.001,15.49,1,0.158479,0.944757,0.714699,0.939618,0.628241,0.596452,0.703193,0.517847,0.974073,0.961785,0.986679,0.496436,0.659852,0.397896,0.686458,0.739741,0.640336,0.701829,0.7086,0.695185,1977406
12,0.132923,0.001,15.56,0,0.158243,0.944898,0.713175,0.93985,0.626214,0.596815,0.707726,0.515958,0.974059,0.961436,0.987018,0.503745,0.650631,0.410965,0.685831,0.75473,0.628459,0.689067,0.752397,0.635569,1977406
